"Route","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"LUCY GO",45687,45687,16930,2.69858239810986,2.69858239810986,7.45996676486139,2346,40.052425,-75.185668,00:00:53
"LUCY GR",29580,29580,14211,2.08148617268313,2.08148617268313,5.62633941207392,2006,39.955795,-75.18328,00:00:49
"LUCYGO",25663,25663,12235,2.09750715161422,2.09750715161422,4.57123732251521,2147,40.052425,-75.185668,00:00:55
"LUCYGR",16822,16822,10052,1.67349781138082,1.67349781138082,3.39675417260757,1894,40.052425,-75.185668,00:00:52
"90",7638,7638,8181,0.933626696002934,0.933626696002934,4.12498677668465,910,40.113449,-75.344818,00:00:14
"91",153,153,82,1.86585365853659,1.86585365853659,5.78252427184466,28,40.10115,-75.302055,00:00:45
"92",6664,6664,7308,0.911877394636015,0.911877394636015,3.56646119804015,819,40.031307,-75.62133,00:00:11
"93",26726,26726,24032,1.11210053262317,1.11210053262317,9.92754076338707,1685,40.10115,-75.302055,00:00:20
"94",4878,4878,4006,1.21767348976535,1.21767348976535,5.11065085399762,476,40.077716,-75.208297,00:00:22
"95",7532,7532,7228,1.0420586607637,1.0420586607637,3.29852086503205,775,40.10115,-75.302055,00:00:12
"96",26985,26985,23348,1.15577351379133,1.15577351379133,7.25032786025285,1672,40.113449,-75.344818,00:00:25
"97",9199,9199,8570,1.07339556592765,1.07339556592765,4.93243010010356,943,40.113449,-75.344818,00:00:19
"98",20542,20542,14443,1.42228068960742,1.42228068960742,5.72404206924707,1982,40.113449,-75.344818,00:00:27
"99",33230,33230,24538,1.35422609829652,1.35422609829652,7.3426934774264,2278,40.10115,-75.302055,00:00:25
"124",30953,30953,18472,1.67567128627111,1.67567128627111,11.6929943922151,1685,40.10115,-75.302055,00:00:25
"127",4955,4955,5458,0.907841700256504,0.907841700256504,4.08267918966167,625,40.10115,-75.302055,00:00:15
"128",5316,5316,6054,0.878097125867195,0.878097125867195,4.30361493382498,462,40.10115,-75.302055,00:00:06
"129",12667,12667,12759,0.992789403558273,0.992789403558273,6.3091940448071,798,40.10115,-75.302055,00:00:11
"130",7351,7351,7186,1.02296131366546,1.02296131366546,3.86292473004726,700,40.10115,-75.302055,00:00:17
"131",13003,13003,10716,1.21341918626353,1.21341918626353,6.60828583954406,1324,40.10115,-75.302055,00:00:24
"132",7687,7687,8865,0.86711787930062,0.86711787930062,4.02833513329165,817,40.235046,-75.245491,00:00:20
"133",468,468,357,1.3109243697479,1.3109243697479,5.18453683442743,78,40.064399,-74.981369,00:00:37
"139",6469,6469,6698,0.965810689758137,0.965810689758137,4.77715906703089,642,40.089828,-75.393104,00:00:15
"150",386,386,319,1.21003134796238,1.21003134796238,1.42772277227723,225,40.117195,-75.284034,00:00:43
"201",1664,1664,1154,1.4419410745234,1.4419410745234,2.76940592009936,379,40.136032,-75.211929,00:00:37
"206",2819,2819,2350,1.19957446808511,1.19957446808511,4.83506300963677,420,40.10115,-75.302055,00:00:34
"15",70029,70029,39049,1.79336218597147,1.79336218597147,11.2196262835703,1399,39.966087,-75.23587,00:00:18
"103",20516,20516,13122,1.5634811766499,1.5634811766499,5.39563329611711,1537,39.962818,-75.258613,00:00:28
"104",59845,59845,47762,1.25298354340271,1.25298354340271,12.0880552786086,2883,39.962158,-75.259689,00:00:16
"105",21600,21600,15343,1.40780812096722,1.40780812096722,8.13131313131313,1283,39.965961,-75.262329,00:00:26
"106",18706,18706,14122,1.3245999150262,1.3245999150262,11.8279076677376,805,39.962818,-75.258613,00:00:19
"107",16467,16467,16323,1.00882190773755,1.00882190773755,5.8172538735919,1103,39.965961,-75.262329,00:00:18
"108",103036,103036,81835,1.2590700800391,1.2590700800391,11.8497111250724,4058,39.962078,-75.258285,00:00:18
"109",80690,80690,61689,1.30801277375221,1.30801277375221,12.3427899846704,2873,39.962078,-75.258285,00:00:19
"110",36701,36701,24758,1.48238953065676,1.48238953065676,9.73077709061576,1961,39.962158,-75.259689,00:00:29
"111",31401,31401,22020,1.42602179836512,1.42602179836512,9.13549202231738,2179,39.962158,-75.259689,00:00:27
"112",17364,17364,11763,1.47615404233614,1.47615404233614,8.46772275631336,1427,39.965961,-75.262329,00:00:26
"113",149184,149184,115123,1.29586616054133,1.29586616054133,12.2330086239824,4997,39.965961,-75.262329,00:00:16
"114",46351,46351,45029,1.02935885762509,1.02935885762509,8.65507050762222,2000,39.919105,-75.26358,00:00:14
"115",22960,22960,23569,0.974160974160974,0.974160974160974,5.86936354310691,1601,39.877262,-75.244293,00:00:13
"117",51615,51615,51328,1.00559149002494,1.00559149002494,6.71874823794756,2727,39.965961,-75.262329,00:00:15
"118",7345,7345,7081,1.03728286965118,1.03728286965118,6.23043370915974,673,39.965961,-75.262329,00:00:26
"119",14951,14951,13839,1.08035262663487,1.08035262663487,7.58328329694323,1010,39.849208,-75.35997,00:00:14
"120",8479,8479,7335,1.15596455351057,1.15596455351057,5.87350684993139,753,39.962158,-75.259689,00:00:15
"123",31118,31118,13905,2.23790003595829,2.23790003595829,11.9867715799314,2393,39.962818,-75.258613,00:00:39
"125",57079,57079,33431,1.70736741347851,1.70736741347851,11.0971772146957,3063,39.965961,-75.262329,00:00:21
"126",12902,12902,9606,1.34311888403081,1.34311888403081,6.85921453023964,1269,39.962158,-75.259689,00:00:28
