GEOID,NAME,education_BA,education_MS,education_tot,eductation_HS,med_age,med_income,total_pop,education_HS_p,education_BA_p,education_MS_p,income_bucket
42101030100,"Census Tract 301, Philadelphia County, Pennsylvania",83,51,3317,701,30,29556,5715,0.12,0.01,0.01,low_income
42101030200,"Census Tract 302, Philadelphia County, Pennsylvania",134,205,5679,1268,35.2,63305,8906,0.14,0.02,0.02,high_income
42101030501,"Census Tract 305.01, Philadelphia County, Pennsylvania",113,41,3180,621,27.8,35047,5774,0.11,0.02,0.01,mid_income
42101030502,"Census Tract 305.02, Philadelphia County, Pennsylvania",152,97,4043,760,30,44979,7059,0.11,0.02,0.01,mid_income
42101030600,"Census Tract 306, Philadelphia County, Pennsylvania",289,61,5298,1039,39.8,49795,7489,0.14,0.04,0.01,mid_income
42101030700,"Census Tract 307, Philadelphia County, Pennsylvania",159,55,2610,402,30,45739,4257,0.09,0.04,0.01,mid_income
42101030800,"Census Tract 308, Philadelphia County, Pennsylvania",280,163,3341,463,36.1,55068,5365,0.09,0.05,0.03,high_income
42101030900,"Census Tract 309, Philadelphia County, Pennsylvania",107,18,2565,527,30.8,46429,4376,0.12,0.02,0,mid_income
42101031000,"Census Tract 310, Philadelphia County, Pennsylvania",325,101,4993,626,34.1,42773,7586,0.08,0.04,0.01,mid_income
42101031101,"Census Tract 311.01, Philadelphia County, Pennsylvania",102,51,2936,595,27.3,33858,5457,0.11,0.02,0.01,low_income
42101031102,"Census Tract 311.02, Philadelphia County, Pennsylvania",68,0,2547,268,34.1,42845,4469,0.06,0.02,0,mid_income
42101031200,"Census Tract 312, Philadelphia County, Pennsylvania",64,38,3415,651,30.2,42566,5590,0.12,0.01,0.01,mid_income
42101031300,"Census Tract 313, Philadelphia County, Pennsylvania",179,28,5102,1044,32.7,41118,7767,0.13,0.02,0,mid_income
42101031401,"Census Tract 314.01, Philadelphia County, Pennsylvania",103,107,4318,790,29.8,36201,7121,0.11,0.01,0.02,mid_income
42101031402,"Census Tract 314.02, Philadelphia County, Pennsylvania",217,39,3629,430,32.1,37639,5962,0.07,0.04,0.01,mid_income
42101031501,"Census Tract 315.01, Philadelphia County, Pennsylvania",206,28,4615,1132,35.4,50714,6774,0.17,0.03,0,mid_income
42101031502,"Census Tract 315.02, Philadelphia County, Pennsylvania",180,44,3120,709,32.7,43190,4461,0.16,0.04,0.01,mid_income
42101031600,"Census Tract 316, Philadelphia County, Pennsylvania",108,87,3920,821,33.2,50931,6067,0.14,0.02,0.01,mid_income
42101031700,"Census Tract 317, Philadelphia County, Pennsylvania",170,59,3800,760,39.2,49284,5577,0.14,0.03,0.01,mid_income
42101031800,"Census Tract 318, Philadelphia County, Pennsylvania",118,75,2600,455,34,42500,4224,0.11,0.03,0.02,mid_income
42101031900,"Census Tract 319, Philadelphia County, Pennsylvania",154,34,3590,610,34.9,44500,5376,0.11,0.03,0.01,mid_income
42101032000,"Census Tract 320, Philadelphia County, Pennsylvania",253,46,4471,823,32,49964,7076,0.12,0.04,0.01,mid_income
42101032100,"Census Tract 321, Philadelphia County, Pennsylvania",64,71,2492,582,27.6,38962,4538,0.13,0.01,0.02,mid_income
42101032300,"Census Tract 323, Philadelphia County, Pennsylvania",71,13,2317,525,30.9,42000,3505,0.15,0.02,0,mid_income
42101032500,"Census Tract 325, Philadelphia County, Pennsylvania",93,15,4070,939,33.8,44909,6373,0.15,0.01,0,mid_income
42101032600,"Census Tract 326, Philadelphia County, Pennsylvania",184,113,4554,1113,31.7,50321,7394,0.15,0.02,0.02,mid_income
42101032900,"Census Tract 329, Philadelphia County, Pennsylvania",118,22,2692,843,38.3,34167,3794,0.22,0.03,0.01,low_income
42101033000,"Census Tract 330, Philadelphia County, Pennsylvania",308,3,4871,756,32,40250,7895,0.1,0.04,0,mid_income
42101033101,"Census Tract 331.01, Philadelphia County, Pennsylvania",254,134,3361,845,33.5,59314,4854,0.17,0.05,0.03,high_income
42101033102,"Census Tract 331.02, Philadelphia County, Pennsylvania",230,21,2762,512,36.5,44309,3801,0.13,0.06,0.01,mid_income
42101033200,"Census Tract 332, Philadelphia County, Pennsylvania",164,63,1947,357,37,66098,2837,0.13,0.06,0.02,high_income
42101033300,"Census Tract 333, Philadelphia County, Pennsylvania",148,72,3369,594,50,43538,4368,0.14,0.03,0.02,mid_income
42101033400,"Census Tract 334, Philadelphia County, Pennsylvania",445,107,4090,655,38,53539,5645,0.12,0.08,0.02,mid_income
42101033500,"Census Tract 335, Philadelphia County, Pennsylvania",198,59,2873,449,35.7,49000,4187,0.11,0.05,0.01,mid_income
42101033600,"Census Tract 336, Philadelphia County, Pennsylvania",531,233,4925,1039,35.8,45990,7070,0.15,0.08,0.03,mid_income
42101033701,"Census Tract 337.01, Philadelphia County, Pennsylvania",379,148,4768,634,41.5,39289,6987,0.09,0.05,0.02,mid_income
42101033702,"Census Tract 337.02, Philadelphia County, Pennsylvania",383,34,3722,741,42,56108,5002,0.15,0.08,0.01,high_income
42101033800,"Census Tract 338, Philadelphia County, Pennsylvania",453,15,4465,784,35.5,46534,6076,0.13,0.07,0,mid_income
42101033900,"Census Tract 339, Philadelphia County, Pennsylvania",125,67,2236,293,34.5,49801,3333,0.09,0.04,0.02,mid_income
42101034000,"Census Tract 340, Philadelphia County, Pennsylvania",117,81,2077,418,43.4,68935,2980,0.14,0.04,0.03,high_income
42101034100,"Census Tract 341, Philadelphia County, Pennsylvania",487,114,4199,946,43.3,68886,5592,0.17,0.09,0.02,high_income
42101034200,"Census Tract 342, Philadelphia County, Pennsylvania",234,68,2758,429,51.4,53958,3505,0.12,0.07,0.02,mid_income
42101034400,"Census Tract 344, Philadelphia County, Pennsylvania",636,240,5845,820,47.2,77750,7693,0.11,0.08,0.03,high_income
42101034501,"Census Tract 345.01, Philadelphia County, Pennsylvania",258,95,2800,428,50.7,27116,3593,0.12,0.07,0.03,low_income
42101034502,"Census Tract 345.02, Philadelphia County, Pennsylvania",512,174,3822,528,39.2,45662,5336,0.1,0.1,0.03,mid_income
42101034600,"Census Tract 346, Philadelphia County, Pennsylvania",105,63,1987,270,40.2,38466,2470,0.11,0.04,0.03,mid_income
42101034701,"Census Tract 347.01, Philadelphia County, Pennsylvania",461,148,5046,515,38,51422,6884,0.07,0.07,0.02,mid_income
42101034702,"Census Tract 347.02, Philadelphia County, Pennsylvania",272,78,2818,511,43,75994,3768,0.14,0.07,0.02,high_income
42101034801,"Census Tract 348.01, Philadelphia County, Pennsylvania",186,17,3430,950,43.6,53429,4464,0.21,0.04,0,mid_income
42101034802,"Census Tract 348.02, Philadelphia County, Pennsylvania",246,92,3571,730,33.7,42313,5639,0.13,0.04,0.02,mid_income
42101034803,"Census Tract 348.03, Philadelphia County, Pennsylvania",360,62,3197,583,41.3,68276,4253,0.14,0.08,0.01,high_income
42101034900,"Census Tract 349, Philadelphia County, Pennsylvania",163,52,4062,1013,39.9,50713,5792,0.17,0.03,0.01,mid_income
42101035100,"Census Tract 351, Philadelphia County, Pennsylvania",435,91,3848,618,59.6,53309,4245,0.15,0.1,0.02,mid_income
