"Year","Month","Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"2020","Feb","1123",137,18,97,1.41237113402062,0.185567010309278,4.52741514360313,383,40.056667,-75.018997,00:00:03
"2020","Feb","1125",41,77,72,0.569444444444444,1.06944444444444,8.61111111111111,216,40.056919,-75.028915,00:00:04
"2020","Feb","1127",382,111,236,1.61864406779661,0.470338983050847,8.12191103789127,607,40.041305,-75.049247,00:00:05
"2020","Feb","1128",249,221,263,0.946768060836502,0.840304182509506,9.23106060606061,792,40.028308,-75.063995,00:00:04
"2020","Feb","1129",281,158,267,1.05243445692884,0.591760299625468,15.7191011235955,801,40.03289,-75.07228,00:00:05
"2020","Feb","113",1144,599,628,1.82165605095541,0.953821656050955,15.9240924092409,909,40.030326,-75.118652,00:00:09
"2020","Feb","1131",260,109,160,1.625,0.68125,5.99233716475096,261,40.011211,-75.112457,00:00:10
"2020","Feb","1133",173,122,197,0.878172588832487,0.619289340101523,2.63175675675676,592,39.975551,-75.120834,00:00:04
"2020","Feb","11334",59,50,62,0.951612903225806,0.806451612903226,8.23809523809524,126,40.089897,-75.126502,00:00:07
"2020","Feb","1135",181,149,140,1.29285714285714,1.06428571428571,4.41666666666667,264,40.011928,-75.112129,00:00:07
"2020","Feb","1137",712,315,413,1.72397094430993,0.76271186440678,18.703216374269,684,40.029525,-75.056137,00:00:09
"2020","Feb","1138",667,220,406,1.64285714285714,0.541871921182266,19.356204379562,685,40.028591,-75.057876,00:00:09
"2020","Feb","114",555,526,352,1.57670454545455,1.49431818181818,23.3427895981087,423,40.034732,-75.130722,00:00:14
"2020","Feb","1140",64,102,97,0.65979381443299,1.05154639175258,12.0744920993228,443,39.912906,-75.243446,00:00:04
"2020","Feb","1141",362,221,217,1.66820276497696,1.0184331797235,1.06158357771261,341,39.920574,-75.232994,00:05:28
"2020","Feb","11422",287,246,197,1.45685279187817,1.24873096446701,7.06527415143603,766,39.917732,-75.179473,00:00:04
"2020","Feb","1144",764,291,441,1.73242630385488,0.659863945578231,13.2413273001508,663,39.926773,-75.246162,00:00:09
"2020","Feb","1145",381,214,324,1.17592592592593,0.660493827160494,20.3824817518248,685,40.027633,-75.061859,00:00:06
