"Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"12293",545,411,496,1.09879032258065,0.828629032258065,12.1170136396267,1393,39.977367,-75.16957,00:00:05
"12296",204,251,207,0.985507246376812,1.21256038647343,13.2160468031759,2393,40.020694,-75.209976,00:00:01
"12299",0,33,10,0,3.3,21.5833333333333,12,40.035736,-75.217269,00:00:10
"123",1449,201,733,1.97680763983629,0.274215552523874,3.76214979988565,1749,40.03292,-75.214706,00:00:07
"12300",0,5,5,0,1,6.125,8,40.035568,-75.217277,00:00:06
"12302",1,959,318,0.00314465408805031,3.01572327044025,0.740601503759398,532,40.032802,-75.214385,00:00:18
"12304",977,940,818,1.19437652811736,1.14914425427873,12.1351940689054,2293,40.01955,-75.210678,00:00:04
"12305",342,372,278,1.23021582733813,1.33812949640288,13.5475492249686,2387,40.025447,-75.208694,00:00:01
"12307",848,518,687,1.23435225618632,0.754002911208151,12.326895565093,1398,39.975849,-75.168708,00:00:08
"12319",392,586,244,1.60655737704918,2.40163934426229,12.1052401746725,2290,40.017688,-75.211318,00:00:01
"12320",382,265,364,1.04945054945055,0.728021978021978,12.0021629416006,1387,39.978954,-75.170455,00:00:03
"12322",97,5,71,1.36619718309859,0.0704225352112676,2.48863636363636,352,40.042407,-75.226348,00:00:03
"12323",240,362,283,0.848056537102474,1.2791519434629,12.083005679336,2289,40.022094,-75.208953,00:00:01
"12324",228,473,243,0.938271604938272,1.94650205761317,13.255328040117,2393,40.022048,-75.209182,00:00:01
"12329",2,106,42,0.0476190476190476,2.52380952380952,4.83783783783784,74,40.047985,-75.234909,00:00:14
"12335",250,388,254,0.984251968503937,1.52755905511811,13.5014662756598,2387,40.024673,-75.20829,00:00:01
"12336",151,108,127,1.18897637795276,0.850393700787402,12.104020979021,2288,40.024574,-75.208076,00:00:01
"1234",1447,1476,150,9.64666666666667,9.84,9.58278145695364,151,40.046512,-75.045112,00:02:56
"12345",1865,4998,1549,1.20400258231117,3.22659780503551,13.5888240200167,2398,40.026763,-75.209426,00:00:10
"12346",1,10,8,0.125,1.25,4.73333333333333,75,40.048744,-75.235313,00:00:01
"1235",28,16,38,0.736842105263158,0.421052631578947,2.44600938967136,426,40.064437,-74.999015,00:00:10
"1236",45,20,41,1.09756097560976,0.48780487804878,0.978260869565217,46,40.043624,-74.989067,00:03:37
"12397",1,0,1,1,0,3.06944444444444,72,40.060886,-75.238937,00:00:00
"124",7661,5268,5240,1.46202290076336,1.00534351145038,16.4660905996334,7638,40.026924,-75.117073,00:00:11
"1240",1448,0,54,26.8148148148148,0,24.5423728813559,59,40.048934,-75.024269,00:09:44
"1241",934,803,655,1.42595419847328,1.22595419847328,6.88613600421719,1897,40.040409,-75.043197,00:00:04
"1242",456,728,522,0.873563218390805,1.39463601532567,11.4231433506045,1737,40.041419,-75.049186,00:00:03
"1246",368,261,310,1.18709677419355,0.841935483870968,12.0328125,640,40.013099,-75.070358,00:00:08
"1249",827,1657,159,5.20125786163522,10.4213836477987,5.10493827160494,162,40.013492,-75.143356,00:03:05
"1250",133,543,373,0.35656836461126,1.45576407506702,4.67441860465116,1548,39.987884,-75.092071,00:00:02
"125no",0,35,25,0,1.4,0,26,39.993999,-75.241744,00:00:02
"1266",630,158,501,1.25748502994012,0.315369261477046,3.95524243680066,2413,39.987731,-75.092124,00:00:02
"12Depot",4587,4225,5450,0.841651376146789,0.775229357798165,0.685547750709909,6691,40.015144,-75.164581,00:02:13
"130",12398,5855,5400,2.29592592592593,1.08425925925926,9.86162411732754,7364,39.949302,-75.163658,00:00:18
"1308",0,794,24,0,33.0833333333333,0,25,40.04919,-75.21965,00:00:57
"131",2472,1878,2087,1.18447532343076,0.899856252994729,14.5448948948949,6660,39.951145,-75.178306,00:00:04
"1313",893,213,542,1.64760147601476,0.392988929889299,8.80499653018737,1441,39.973155,-75.18386,00:00:05
"13188",678,2097,683,0.992679355783309,3.07027818448023,10.2985190958691,1283,39.962703,-75.164627,00:00:11
"132",2208,1730,1971,1.12024353120244,0.877727042110604,17.786086232035,4801,40.025726,-75.125198,00:00:05
"1321",193,434,356,0.542134831460674,1.21910112359551,13.5594358629953,1489,39.959129,-75.170249,00:00:03
"1340",3043,1504,1211,2.51279933938893,1.24194880264244,13.3511821974965,1438,40.050777,-75.173271,00:00:19
